SampleID,CPA,CPAm
D1716103_S50,5.19360158132476,2.088706
D1901714_S64,23.754548761794606,5.820524
D1815280_S51,6.1391305542643515,6.8497614
D1820606_S42,13.212979060402724,2.9276588
D1815278_S50,27.518523886895604,5.7341158
DNA044086_S62,9.256969924908285,2.6446494
D1901708_S59,14.71454970876779,4.0219502
D1718045_S20,17.559474993832072,3.2599512
D1613854_S2,25.189881260940926,8.795649
D1901710_S61,3.233701795542501,1.0473472
D1718149_S12,2.1354612122626455,0.5803994
D1718144_S21,8.183795573384115,1.7591442
D1808345_S16,12.535745722380195,2.889849
D1718044_S56,1.5853222227664359,0.362094
D1901704_S55,1.2256267942489794,0.9603818
D1809002_S76,2.5817140511591394,0.6421144
D1907475_S60,6.952722641869994,1.6664524
D1810632_S49,14.796912753732276,5.2662254
D1820096_S67,1.282330666974862,0.3259202
D1718146_S11,2.3367604246751177,0.638872
D1806365_S62,11.877940191811572,2.2102938
DNA043936_S54,1.451485579063534,0.7421932
D1815005_S51,7.392988886197012,2.478205
D1718178_S79,8.67974474488406,9.304704
DNA043938_S56,7.138356017252202,3.5761704
D1811779_S45,1.8495174440575568,0.5468638
D1901712_S63,30.402902452463284,8.6121356
D1821520_S57,3.2148935306618096,0.682005
D1813051_S51,15.188923104223775,2.7634938
D1714066_S44,3.847668632199899,1.8685958
D1718040_S54,7.180748986778837,2.78543
D1813591_S54,3.8948996759353953,1.1660678
D1819080_S2,9.435070658162733,2.2650402
DNA044084_S60,35.06399083488043,6.4307564
DNA043940_S58,4.088279529701455,1.004812
D1816942_S60,4.058440365394084,1.1379482
D1718038_S7,1.3591086395566532,0.4499832
D1907935_S9,9.347283899257281,4.606582
D1815283_S52,1.3207468709540993,0.2981576185006
DNA043941_S59,4.784654024406646,2.0484324
DNA044085_S61,8.894103835431059,7.487127
D1810007_S75,1.1461044726311709,0.2601822
D1718147_S29,5.2921755065156075,1.1889256
D1718184_S58,1.3311050228700725,0.3378044
D1714496_S63,22.667228160896823,4.9769028
D1901706_S57,5.349285532760079,7.1875554
D1818864_S57,9.523942895643804,5.3503576
D1718145_S22,16.340009116334958,5.9792894
D1900262_S4,1.0627121342003671,0.2857554
D1718058_S9,10.213339569056332,5.3519236
D1907475_S15,6.89003956275882,1.6502404
D1807126_S64,8.128784790109842,1.7324388
D1901711_S62,1.9158886019859132,1.2265928
D1901707_S58,13.471474005531281,6.4413968
D1815585_S69,19.28713743430036,4.5445354
D1812360_S3,24.46621630515186,5.9641974
D1814141_S50,16.606545999653534,3.2253948
D1901705_S56,11.744492003910137,7.6393228
D1817926_S56,4.355171070171194,1.4242942
D1901862_S66,1.8242714737727272,0.918712
D1717058_S75,20.720775257449038,4.7025136
D1807857_S50,11.414803063737619,3.70462
D1718039_S53,1.4792973656079385,0.465993
D1810266_S65,1.5442847111411404,2.3062818
D1720551_S69,2.8737206998746525,0.9364902
D1811593_S69,1.1234409573806623,0.2781168
D1907634_S56,12.200765383032653,4.881199
D1718042_S8,1.6213437329590856,0.3972612
DNA043641_S50,12.751722519416365,5.9789262
D1807021_S63,14.803907624896176,3.9962546
D1815107_S50,7.61218611903738,1.9749918
D1901860_S65,8.476662767087706,2.1144008
D1908745_S62,29.00845492896692,6.1497814
D1715984_S76,8.958274469316747,3.7127694
D1720305_S72,3.929579874842075,1.251244
D1808921_S69,4.146335790467063,1.4657466
D1718191_S73,16.54239733654245,6.0593186
D1817270_S6,12.37173459619947,3.3373622
D1904403_S53,21.520391645043034,4.5599068
D1811490_S66,3.3809712991981735,0.7678914
DNA043664_S51,2.1497212198147513,0.6301296
D1718148_S23,1.2438196592829043,0.3363124
