Size (bp),E2: CFD1601677
272.46,41.92
273.20,42.63
273.95,43.47
274.69,44.43
275.44,45.00
276.18,45.29
276.92,45.93
277.67,46.97
278.41,47.83
279.16,48.20
279.90,48.52
280.65,51.03
281.39,52.88
282.14,54.45
282.88,55.62
283.62,57.00
284.37,58.95
285.11,60.94
285.86,62.89
286.60,65.49
287.35,68.81
288.09,72.01
288.83,74.60
289.58,76.93
290.32,79.65
291.07,82.79
291.81,85.73
292.56,88.28
293.30,91.42
294.05,95.77
294.79,100.70
295.53,105.21
296.28,109.15
297.02,113.30
297.77,117.95
298.51,122.26
299.26,125.78
300.00,129.22
301.00,133.16
301.77,137.92
302.53,143.65
303.30,149.77
304.07,155.48
304.84,160.88
305.60,166.72
306.37,173.26
307.14,179.72
307.91,185.13
308.67,189.36
309.44,192.89
310.21,196.36
310.98,200.64
311.74,206.44
312.51,213.33
313.28,219.34
314.05,223.14
314.81,225.65
315.58,228.05
316.35,230.12
317.12,231.63
317.88,233.27
318.65,235.76
319.42,239.21
320.19,242.76
320.95,244.97
321.72,243.95
322.49,243.06
323.26,242.50
324.02,242.27
324.79,242.48
325.56,242.48
326.33,241.75
327.09,241.07
327.86,241.43
328.63,242.56
329.40,243.35
330.16,243.25
330.93,242.48
331.70,241.13
332.47,239.39
333.23,238.00
334.00,237.47
334.77,237.48
335.53,237.67
336.30,238.13
337.07,239.02
337.84,240.14
338.60,241.19
339.37,242.33
340.14,243.87
340.91,245.64
341.67,247.37
342.44,249.18
343.21,250.95
343.98,252.44
344.74,254.26
345.51,257.18
346.28,260.61
347.05,263.17
347.81,264.38
348.58,265.22
349.35,266.90
350.12,269.37
350.88,271.74
351.65,274.14
352.42,277.57
353.19,281.86
353.95,285.69
354.72,288.29
355.49,290.08
356.26,291.96
357.02,294.36
357.79,296.75
358.56,298.66
359.33,300.58
360.09,302.65
360.86,304.00
361.63,304.34
362.40,305.78
363.16,307.21
363.93,308.16
364.70,308.29
365.47,307.91
366.23,307.75
367.00,308.05
367.77,307.87
368.53,306.57
369.30,305.20
370.07,304.82
370.84,304.85
371.60,304.17
372.37,302.41
373.14,300.08
373.91,298.09
374.67,296.78
375.44,295.76
376.21,294.66
376.98,293.04
377.74,290.32
378.51,286.72
379.28,283.18
380.05,280.21
380.81,277.84
381.58,275.99
382.35,274.09
383.12,271.48
383.88,268.13
384.65,264.40
385.42,260.57
386.19,256.89
386.95,253.57
387.72,250.61
388.49,247.84
389.26,245.02
390.02,242.18
390.79,239.57
391.56,236.78
392.33,232.88
393.09,227.86
393.86,222.79
394.63,218.42
395.40,214.95
396.16,212.47
396.93,210.34
397.70,207.04
398.47,201.91
399.23,196.15
400.00,191.58
401.00,188.61
401.82,185.82
402.64,181.95
403.45,177.46
404.27,170.76
405.09,168.25
405.91,164.81
406.73,160.24
407.55,155.87
408.36,152.71
409.18,150.10
410.00,146.84
410.82,142.85
411.64,138.92
412.45,135.32
413.27,131.67
414.09,127.92
414.91,124.35
415.73,121.23
416.55,118.57
417.36,115.91
418.18,112.91
419.00,109.89
419.82,107.04
420.64,104.08
421.45,100.97
422.27,98.21
423.09,96.23
423.91,94.74
424.73,93.03
425.55,90.65
426.36,87.66
427.18,84.73
428.00,82.54
428.82,80.80
429.64,78.88
430.45,76.92
431.27,75.18
432.09,73.40
432.91,71.41
433.73,69.41
434.55,67.63
435.36,66.28
436.18,65.39
437.00,64.58
437.82,63.63
438.64,62.69
439.45,61.45
440.27,59.64
441.09,57.82
441.91,56.69
442.73,56.31
443.55,56.16
444.36,55.67
445.18,54.84
446.00,54.13
446.82,53.64
447.64,52.96
448.45,51.16
449.27,50.70
450.09,50.20
450.91,49.49
451.73,48.93
452.55,48.55
453.36,47.97
454.18,47.23
455.00,46.81
455.82,47.01
456.64,47.58
457.45,47.95
458.27,47.69
459.09,46.91
459.91,46.09
460.73,45.72
461.55,45.84
462.36,46.27
463.18,47.16
464.00,48.35
464.82,48.92
465.64,48.32
466.45,47.30
467.27,46.73
468.09,46.46
468.91,46.02
469.73,45.56
470.55,45.39
471.36,45.45
472.18,45.72
473.00,46.28
473.82,46.63
474.64,46.34
475.45,45.79
476.27,45.46
477.09,45.36
477.91,45.61
478.73,46.50
479.55,47.63
480.36,48.25
481.18,48.21
482.00,47.97
482.82,47.73
483.64,47.32
484.45,46.86
485.27,46.93
486.09,47.83
486.91,49.04
487.73,49.75
488.55,49.79
489.36,49.68
490.18,49.75
491.00,49.81
491.82,49.79
492.64,50.44
493.45,51.50
494.27,52.32
495.09,52.42
495.91,52.07
496.73,51.85
497.55,51.76
498.36,51.54
499.18,51.25
500.00,51.27
501.00,52.03
501.99,53.42
502.98,54.55
503.97,55.08
504.96,55.77
505.95,57.05
506.94,58.07
507.93,58.13
508.92,57.84
509.91,58.38
510.90,59.84
511.89,61.16
512.88,61.66
513.87,61.78
514.86,62.13
515.85,62.67
516.84,63.29
517.83,64.37
518.82,66.09
519.81,67.66
520.80,68.42
521.79,68.93
522.78,70.03
523.77,71.41
524.76,72.20
525.75,72.35
526.74,72.50
527.73,72.98
528.72,73.74
529.71,75.00
530.70,77.04
531.69,79.44
532.68,81.46
533.67,82.88
534.66,83.62
535.65,83.55
536.64,83.17
537.63,83.63
538.62,85.42
539.61,87.50
540.60,88.40
541.59,88.17
542.58,88.05
543.57,88.37
544.56,88.44
545.55,89.21
546.54,90.43
547.53,91.81
548.52,93.87
549.51,96.50
550.50,98.32
551.49,98.35
552.48,97.68
553.47,98.13
554.46,99.62
555.45,100.81
556.44,100.96
557.43,100.10
558.42,98.90
559.41,98.59
560.40,99.71
561.39,101.08
562.38,101.34
563.37,100.66
564.36,100.06
565.35,99.65
566.34,98.87
567.33,98.15
568.32,98.25
569.31,98.78
570.30,99.11
571.29,99.42
572.28,99.58
573.27,99.36
574.26,99.13
575.25,98.96
576.24,98.10
577.23,96.47
578.22,94.94
579.21,94.32
580.20,94.75
581.19,95.38
582.18,95.05
583.17,93.75
584.16,92.36
585.15,91.11
586.14,89.66
587.13,88.31
588.12,87.70
589.11,87.77
590.10,87.75
591.09,87.10
592.08,86.02
593.07,85.12
594.06,85.02
595.05,85.65
596.04,86.16
597.03,84.07
598.02,81.72
599.01,79.38
600.00,77.21
601.00,74.54
602.15,71.24
603.30,68.23
604.45,66.52
605.60,66.22
606.76,66.37
607.91,65.64
609.06,63.72
610.21,61.62
611.36,60.67
612.51,61.31
613.66,62.53
614.81,62.92
615.97,62.00
617.12,60.19
618.27,57.80
619.42,55.16
620.57,52.77
621.72,51.17
622.87,50.40
624.02,50.04
625.17,49.53
626.33,48.48
627.48,46.95
628.63,45.29
629.78,43.38
630.93,41.29
632.08,39.94
633.23,39.77
634.38,39.82
635.53,39.10
636.69,37.85
637.84,36.86
638.99,35.98
640.14,34.83
641.29,33.95
642.44,33.76
643.59,33.67
644.74,33.14
645.90,32.02
647.05,30.44
648.20,29.21
649.35,28.95
650.50,28.78
651.65,27.88
652.80,26.82
653.95,25.96
655.10,24.87
656.26,23.81
657.41,23.98
658.56,24.16
659.71,23.42
660.86,22.16
662.01,21.42
663.16,21.62
664.31,22.05
665.47,21.95
666.62,21.33
667.77,20.61
668.92,19.94
670.07,19.09
671.22,18.04
672.37,17.46
673.52,17.64
674.67,18.01
675.83,18.14
676.98,17.95
678.13,17.31
679.28,16.64
680.43,16.68
681.58,17.54
682.73,18.49
683.88,18.70
685.03,17.98
686.19,16.88
687.34,16.36
688.49,16.63
689.64,16.83
690.79,16.55
691.94,16.44
693.09,16.73
694.24,17.32
695.40,18.32
696.55,19.43
697.70,20.08
698.85,20.32
700.00,20.13
701.00,19.09
702.22,17.60
703.44,17.04
704.67,18.29
705.89,20.58
707.11,22.54
708.33,23.85
709.56,25.01
710.78,26.13
712.00,26.94
713.22,27.37
714.44,27.34
715.67,26.74
716.89,25.94
718.11,25.90
719.33,27.22
720.56,30.24
721.78,30.35
723.00,30.20
724.22,30.41
725.44,31.33
726.67,33.02
727.89,35.00
729.11,36.62
730.33,37.61
731.56,38.03
732.78,38.32
734.00,38.94
735.22,39.44
736.44,39.45
737.67,39.78
738.89,41.03
740.11,42.67
741.33,43.87
742.56,44.28
743.78,44.24
745.00,44.27
746.22,44.32
747.44,44.43
748.67,44.97
749.89,45.68
751.11,45.98
752.33,46.37
753.56,47.56
