Size (bp),E2: CFD1601677
12067.45,4.32
12096.34,4.15
12125.23,4.16
12154.13,3.51
12183.02,2.56
12211.91,2.03
12240.80,1.84
12269.70,1.60
12298.59,1.37
12327.48,1.43
12356.38,1.78
12385.27,1.99
12414.16,1.66
12443.05,0.96
12471.95,0.46
12500.84,0.48
12529.73,0.87
12558.63,1.14
12587.52,1.15
12616.41,1.18
12645.30,1.39
12674.20,1.63
12703.09,1.95
12731.98,2.62
12760.88,3.36
12789.77,3.53
12818.66,2.91
12847.55,2.00
12876.45,1.62
12905.34,2.11
12934.23,2.87
12963.12,3.51
12992.02,3.80
13020.91,4.12
13049.80,4.54
13078.70,4.98
13107.59,4.96
13136.48,4.00
13165.37,2.32
13194.27,0.96
13223.16,0.78
13252.05,1.34
13280.95,1.69
13309.84,2.01
13338.73,2.77
13367.62,3.31
13396.52,2.85
13425.41,1.83
13454.30,1.26
13483.20,1.53
13512.09,2.09
13540.98,2.07
13569.87,1.39
13598.77,0.88
13627.66,1.20
13656.55,2.01
13685.45,2.50
13714.34,2.56
13743.23,2.61
13772.12,2.70
13801.02,2.43
13829.91,1.72
13858.80,1.06
13887.70,0.99
13916.59,1.48
13945.48,2.04
13974.37,2.45
14003.27,2.99
14032.16,3.56
14061.05,3.46
14089.95,2.50
14118.84,1.51
14147.73,1.26
14176.62,1.59
14205.52,1.81
14234.41,1.49
14263.30,1.06
14292.20,1.08
14321.09,1.45
14349.98,1.84
14378.87,2.17
14407.77,2.39
14436.66,2.55
14465.55,3.12
14494.45,4.81
14523.34,4.46
14552.23,3.08
14581.12,1.40
14610.02,0.49
14638.91,0.78
14667.80,1.85
14696.70,3.20
14725.59,4.46
14754.48,5.05
14783.37,4.56
14812.27,3.41
14841.16,2.55
14870.05,2.32
14898.95,2.27
14927.84,2.01
14956.73,1.66
14985.62,1.37
15014.52,1.24
15043.41,1.25
15072.30,1.13
15101.20,0.80
15130.09,0.62
15158.98,0.88
15187.87,1.26
15216.77,1.40
15245.66,1.53
15274.55,1.99
15303.44,2.50
15332.34,2.76
15361.23,2.82
15390.12,2.61
15419.02,2.15
15447.91,1.70
15476.80,1.39
15505.69,1.10
15534.59,0.67
15563.48,0.15
15592.37,0.02
15621.27,0.40
15650.16,0.63
15679.05,0.35
15707.94,0.10
15736.84,0.17
15765.73,0.23
15794.62,-0.05
15823.52,-0.54
15852.41,-0.86
15881.30,-0.71
15910.19,-0.15
15939.09,0.42
15967.98,0.46
15996.87,-0.12
16025.77,-0.63
16054.66,0.25
16083.55,0.90
16112.44,1.39
16141.34,1.79
16170.23,2.05
16199.12,1.98
16228.02,1.19
16256.91,-0.36
16285.80,-1.88
16314.69,-2.62
16343.59,-2.69
16372.48,-2.50
16401.37,-2.24
16430.27,-2.03
16459.16,-1.75
16488.05,-1.10
16516.94,0.05
16545.84,1.45
16574.73,2.36
16603.62,2.03
16632.52,0.76
16661.41,-0.36
16690.30,-0.90
16719.19,-1.06
16748.09,-0.79
16776.98,-0.03
16805.87,0.70
16834.77,0.83
16863.66,0.53
16892.55,0.37
16921.44,0.44
16950.34,0.36
16979.23,-0.07
17008.12,-0.61
17037.01,-0.79
17065.91,-0.39
17094.80,0.26
17123.69,0.86
17152.59,1.37
17181.48,1.55
17210.37,1.31
17239.26,1.01
17268.16,0.89
17297.05,0.82
17325.94,0.57
17354.84,0.17
17383.73,-0.02
17412.62,0.11
17441.51,0.27
17470.41,0.21
17499.30,0.06
17528.19,0.15
17557.09,0.34
17585.98,0.21
17614.87,-0.80
17643.76,-0.65
17672.66,0.11
17701.55,0.85
17730.44,1.12
17759.34,1.13
17788.23,1.50
17817.12,2.53
17846.01,3.47
17874.91,3.29
17903.80,2.07
17932.69,0.88
17961.59,0.65
17990.48,1.55
18019.37,2.68
18048.26,2.85
18077.16,2.19
18106.05,1.84
18134.94,1.75
18163.83,1.06
18192.73,0.22
18221.62,0.31
18250.51,0.99
18279.41,1.33
18308.30,1.15
18337.19,0.63
18366.08,-0.11
18394.98,-0.79
18423.87,-1.13
18452.76,-0.95
18481.66,-0.37
18510.55,-0.04
18539.44,-0.26
18568.33,-0.60
18597.23,-0.76
18626.12,-0.94
18655.01,-1.05
18683.91,-0.86
18712.80,-0.40
18741.69,0.16
18770.58,0.65
18799.48,0.93
18828.37,1.16
18857.26,1.84
18886.16,2.83
18915.05,3.04
18943.94,2.00
18972.83,0.73
19001.73,0.23
19030.62,0.38
19059.51,0.70
19088.41,0.99
19117.30,1.09
19146.19,0.69
19175.08,0.85
19203.98,1.49
19232.87,2.46
19261.76,3.33
19290.66,3.51
19319.55,3.12
19348.44,2.73
19377.33,2.43
19406.23,1.83
19435.12,0.92
19464.01,0.07
19492.90,-0.47
19521.80,-0.81
19550.69,-1.11
19579.58,-1.26
19608.48,-1.11
19637.37,-0.86
19666.26,-0.68
19695.15,-0.41
19724.05,-0.05
19752.94,0.02
19781.83,-0.32
19810.73,-0.67
19839.62,-0.57
19868.51,0.19
19897.40,1.37
19926.30,2.16
19955.19,2.00
19984.08,1.48
20012.98,1.41
20041.87,1.59
20070.76,1.29
20099.65,0.28
20128.55,-0.85
20157.44,-1.33
20186.33,-1.04
20215.23,-0.39
20244.12,0.48
20273.01,1.43
20301.90,1.91
20330.80,1.68
20359.69,1.19
20388.58,0.93
20417.48,1.07
20446.37,1.41
20475.26,1.63
20504.15,1.50
20533.05,0.87
20561.94,-0.01
20590.83,-0.50
20619.72,-0.26
20648.62,0.36
20677.51,0.76
20706.40,0.42
20735.30,0.61
20764.19,1.69
20793.08,3.12
20821.97,3.86
20850.87,3.32
20879.76,1.99
20908.65,0.92
20937.55,0.57
20966.44,0.67
20995.33,0.99
21024.22,1.42
21053.12,1.75
21082.01,1.65
21110.90,0.92
21139.80,-0.12
21168.69,-0.89
21197.58,-1.23
21226.47,-1.03
21255.37,-0.16
21284.26,0.90
21313.15,1.59
21342.05,2.05
21370.94,2.34
21399.83,2.31
21428.72,2.07
21457.62,1.56
21486.51,0.54
21515.40,-0.52
21544.30,-0.66
21573.19,0.14
21602.08,0.93
21630.97,1.18
21659.87,1.40
21688.76,1.99
21717.65,2.55
21746.55,2.65
21775.44,2.05
21804.33,0.76
21833.22,-0.45
21862.12,-0.72
21891.01,-0.12
21919.90,0.66
21948.79,0.98
21977.69,0.83
22006.58,0.89
22035.47,1.47
22064.37,1.95
22093.26,1.84
22122.15,1.66
22151.04,1.93
22179.94,2.25
22208.83,2.29
22237.72,2.52
22266.62,3.32
22295.51,2.80
22324.40,2.12
22353.29,2.08
22382.19,2.56
22411.08,2.71
22439.97,2.14
22468.87,1.31
22497.76,0.89
22526.65,1.03
22555.54,1.07
22584.44,0.50
22613.33,-0.37
22642.22,-0.83
22671.12,-0.32
22700.01,0.93
22728.90,1.61
22757.79,1.01
22786.69,0.00
22815.58,0.00
22844.47,0.00
22873.37,0.00
22902.26,0.00
22931.15,0.00
22960.04,0.00
22988.94,0.00
23017.83,0.00
23046.72,0.00
23075.62,0.00
23104.51,0.00
23133.40,0.00
23162.29,0.00
23191.19,0.00
23220.08,0.00
23248.97,0.00
23277.87,0.00
23306.76,0.00
23335.65,0.00
23364.54,0.00
23393.44,0.00
23422.33,0.00
23451.22,0.00
23480.12,0.00
23509.01,0.00
23537.90,0.00
23566.79,0.00
23595.69,0.00
23624.58,0.00
23653.47,0.00
23682.37,0.00
23711.26,0.00
23740.15,0.00
23769.04,0.00
23797.94,0.00
23826.83,0.00
23855.72,0.00
23884.62,0.00
