Size (bp),A1: CFD1806872
290.86,132.29
291.62,135.64
292.38,139.08
293.15,141.98
293.91,144.53
294.67,146.90
295.43,148.95
296.19,150.88
296.95,153.06
297.72,155.72
298.48,158.65
299.24,160.96
300.00,162.15
301.00,163.19
301.79,165.40
302.58,168.87
303.38,172.36
304.17,174.56
304.96,175.34
305.75,175.70
306.54,176.48
307.34,177.68
308.13,178.70
308.92,179.36
309.71,179.93
310.50,180.34
311.30,180.12
312.09,179.20
312.88,178.24
313.67,177.70
314.46,177.39
315.26,176.95
316.05,176.17
316.84,174.96
317.63,173.32
318.42,171.53
319.22,169.87
320.01,168.52
320.80,167.49
321.59,166.26
322.38,164.16
323.18,161.34
323.97,158.66
324.76,156.76
325.55,155.48
326.34,154.10
327.14,152.25
327.93,150.33
328.72,147.42
329.51,145.98
330.30,144.20
331.10,142.21
331.89,140.20
332.68,138.10
333.47,135.98
334.26,134.33
335.06,133.26
335.85,132.43
336.64,131.77
337.43,131.17
338.22,130.33
339.02,129.34
339.81,128.59
340.60,128.15
341.39,127.68
342.18,127.07
342.98,126.37
343.77,125.47
344.56,124.10
345.35,122.62
346.14,121.89
346.94,121.96
347.73,122.03
348.52,121.74
349.31,121.37
350.10,121.33
350.90,121.95
351.69,123.02
352.48,123.79
353.27,123.95
354.06,123.80
354.86,123.26
355.65,122.16
356.44,121.29
357.23,121.38
358.02,121.79
358.82,121.73
359.61,121.19
360.40,120.39
361.19,119.52
361.98,118.60
362.78,117.41
363.57,116.20
364.36,115.72
365.15,115.97
365.94,116.07
366.74,115.52
367.53,114.54
368.32,113.25
369.11,111.58
369.90,109.84
370.70,108.39
371.49,107.37
372.28,106.69
373.07,105.82
373.86,104.08
374.66,101.72
375.45,99.86
376.24,98.99
377.03,98.79
377.82,98.83
378.62,98.66
379.41,97.87
380.20,96.54
380.99,95.18
381.78,94.14
382.58,93.48
383.37,93.23
384.16,92.97
384.95,91.76
385.74,89.49
386.54,87.23
387.33,85.74
388.12,84.76
388.91,83.89
389.70,83.04
390.50,82.25
391.29,81.63
392.08,81.32
392.87,81.20
393.66,80.83
394.46,80.03
395.25,78.96
396.04,77.67
396.83,76.19
397.62,74.85
398.42,73.94
399.21,73.35
400.00,72.79
401.00,72.16
401.84,71.68
402.68,71.47
403.52,71.18
404.36,70.47
405.19,69.25
406.03,67.67
406.87,66.30
407.71,65.76
408.55,65.60
409.39,65.40
410.23,65.49
411.07,65.59
411.91,65.41
412.75,64.98
413.58,64.36
414.42,63.54
415.26,62.51
416.10,61.52
416.94,61.02
417.78,61.11
418.62,61.18
419.46,60.67
