Size (bp),A1: CFD1806872
14331.71,3.55
14362.68,2.98
14393.65,2.24
14424.62,1.48
14455.60,1.16
14486.57,1.44
14517.54,1.90
14548.52,2.32
14579.49,3.04
14610.46,4.00
14641.44,4.34
14672.41,3.62
14703.38,2.58
14734.36,2.15
14765.33,2.41
14796.30,2.76
14827.27,2.83
14858.25,2.62
14889.22,2.15
14920.19,1.66
14951.17,1.54
14982.14,1.74
15013.11,1.70
15044.09,1.25
15075.06,0.83
15106.03,0.97
15137.00,1.69
15167.98,2.37
15198.95,2.36
15229.92,1.82
15260.90,1.33
15291.87,1.21
15322.84,1.42
15353.82,1.64
15384.79,1.70
15415.76,1.81
15446.74,2.26
15477.71,2.98
15508.68,3.82
15539.65,4.54
15570.63,5.05
15601.60,5.54
15632.57,6.00
15663.55,5.93
15694.52,5.09
15725.49,3.88
15756.47,2.84
15787.44,2.25
15818.41,2.07
15849.38,2.15
15880.36,2.57
15911.33,3.54
15942.30,5.05
15973.28,6.54
16004.25,7.37
16035.22,7.33
16066.20,6.73
16097.17,6.21
16128.14,6.29
16159.12,6.91
16190.09,7.18
16221.06,6.23
16252.04,4.27
16283.01,2.34
16313.98,1.41
16344.95,1.73
16375.93,2.58
16406.90,3.01
16437.87,2.73
16468.85,1.96
16499.82,0.93
16530.79,-0.02
16561.77,-0.54
16592.74,-0.53
16623.71,-0.23
16654.68,0.06
16685.66,0.33
16716.63,0.80
16747.60,0.88
16778.58,1.04
16809.55,1.02
16840.52,0.68
16871.50,0.49
16902.47,0.76
16933.44,1.30
16964.41,1.63
16995.39,1.28
17026.36,0.30
17057.33,-0.46
17088.31,-0.31
17119.28,0.58
17150.25,1.68
17181.23,2.54
17212.20,2.78
17243.17,2.28
17274.14,1.48
17305.12,1.01
17336.09,1.02
17367.06,1.03
17398.04,0.74
17429.01,0.60
17459.98,1.28
17490.96,2.43
17521.93,2.86
17552.90,2.18
17583.87,1.20
17614.85,0.56
17645.82,0.21
17676.79,0.11
17707.77,0.27
17738.74,0.37
17769.71,0.21
17800.69,0.09
17831.66,0.30
17862.63,0.60
17893.61,0.67
17924.58,0.54
17955.55,0.28
17986.53,-0.17
18017.50,-0.57
18048.47,-0.38
18079.45,0.51
18110.42,1.40
18141.39,1.66
18172.36,1.31
18203.34,0.72
18234.31,0.15
18265.28,-0.25
18296.26,-0.40
18327.23,-0.35
18358.20,-0.14
18389.18,0.26
18420.15,0.80
18451.12,1.19
18482.09,1.20
18513.07,1.00
18544.04,1.06
18575.01,1.39
18605.99,1.54
18636.96,1.50
18667.93,1.76
18698.91,1.95
18729.88,1.32
18760.85,0.29
18791.82,-0.19
18822.80,-0.02
18853.77,0.51
18884.74,1.24
18915.72,1.78
18946.69,1.88
18977.66,1.71
19008.64,1.58
19039.61,1.66
19070.58,1.98
19101.55,2.30
19132.53,2.21
19163.50,1.53
19194.47,0.68
19225.45,0.42
19256.42,0.97
19287.39,1.56
19318.37,1.35
19349.34,0.60
19380.31,0.05
19411.29,-0.21
19442.26,-0.42
19473.23,-0.75
19504.21,-1.04
19535.18,-0.84
19566.15,-0.09
19597.12,0.64
19628.10,0.83
19659.07,0.56
19690.04,0.16
19721.02,-0.01
19751.99,0.19
19782.96,0.26
19813.94,0.00
19844.91,0.01
19875.88,0.25
19906.86,0.54
19937.83,0.76
19968.80,0.69
19999.77,0.28
20030.75,-0.04
20061.72,-0.12
20092.69,-0.39
20123.67,-0.81
20154.64,-0.61
20185.61,0.19
20216.59,0.75
20247.56,0.64
20278.53,0.15
20309.50,-0.38
20340.48,-0.65
20371.45,-0.63
20402.42,-0.45
20433.40,-0.07
20464.37,0.52
20495.34,0.93
20526.32,0.89
20557.29,0.52
20588.26,-0.04
20619.23,-0.83
20650.21,-1.58
20681.18,-1.69
20712.15,-1.17
20743.13,-0.72
20774.10,-0.50
20805.07,-0.16
20836.05,0.13
20867.02,0.02
20897.99,-0.39
20928.96,-0.82
20959.94,-1.02
20990.91,-0.95
21021.88,-0.90
21052.86,-1.06
21083.83,-1.31
21114.80,-1.35
21145.78,-1.04
21176.75,-0.77
21207.72,-1.12
21238.70,-1.85
21269.67,-2.14
21300.64,-2.03
21331.62,-2.22
21362.59,-2.86
21393.56,-3.38
21424.54,-3.48
21455.51,-3.35
21486.48,-3.17
21517.45,-2.92
21548.43,-2.63
21579.40,-2.54
21610.37,-2.74
21641.35,-2.95
21672.32,-2.93
21703.29,-2.71
21734.27,-2.37
21765.24,-1.99
21796.21,-1.75
21827.18,-1.77
21858.16,-1.86
21889.13,-1.89
21920.10,-2.13
21951.08,-2.68
21982.05,-3.21
22013.02,-3.50
22044.00,-3.48
22074.97,-2.85
22105.94,-1.56
22136.91,-0.33
22167.89,-0.12
22198.86,-0.94
22229.83,-1.75
22260.81,-1.82
22291.78,-1.43
22322.75,-1.00
22353.73,-0.71
22384.70,-0.44
22415.67,0.12
22446.64,0.61
22477.62,0.33
22508.59,-0.49
22539.56,-1.22
22570.54,-1.82
22601.51,-2.42
22632.48,-2.82
22663.46,-2.69
22694.43,-2.01
22725.40,-1.35
22756.37,-1.26
22787.35,-1.62
22818.32,-1.77
22849.29,-0.07
22880.27,0.99
22911.24,1.37
22942.21,1.17
22973.19,0.79
23004.16,0.31
23035.13,-0.32
23066.11,-1.11
23097.08,-2.03
23128.05,-2.73
23159.03,-2.69
23190.00,-1.95
23220.97,-1.03
23251.94,-0.39
23282.92,-0.26
23313.89,-0.72
23344.86,-1.38
23375.84,-1.67
23406.81,-1.60
23437.78,-1.43
23468.76,-1.05
23499.73,-0.69
23530.70,-0.81
23561.68,-1.06
23592.65,-0.82
23623.62,-0.22
23654.59,0.10
23685.57,-0.16
23716.54,-0.57
23747.51,-0.66
23778.49,-0.53
23809.46,-0.44
23840.43,-0.33
23871.41,-0.10
23902.38,0.08
23933.35,0.16
23964.32,0.20
23995.30,-0.01
24026.27,-0.55
24057.24,-0.95
24088.22,-0.82
24119.19,-0.42
24150.16,-0.26
24181.14,-0.50
24212.11,-0.97
24243.08,-1.26
24274.05,-1.05
24305.03,-0.52
24336.00,-0.22
24366.97,-0.23
24397.95,-0.21
24428.92,-0.09
24459.89,-0.21
24490.87,-0.69
24521.84,-1.10
24552.81,-0.99
24583.79,-0.53
24614.76,-0.27
24645.73,-0.37
24676.71,-0.62
24707.68,-0.71
24738.65,-0.46
24769.62,-0.18
24800.60,-0.39
24831.57,-1.09
24862.54,-1.55
24893.52,-1.37
24924.49,-0.88
24955.46,-0.39
24986.44,0.07
25017.41,0.42
25048.38,0.57
25079.35,0.62
25110.33,0.86
25141.30,1.39
25172.27,2.00
25203.25,2.56
25234.22,2.89
25265.19,2.76
25296.17,2.00
25327.14,0.63
25358.11,-0.90
25389.08,-1.67
25420.06,-1.35
25451.03,-0.69
25482.00,-0.49
25512.98,-0.68
25543.95,-0.58
25574.92,0.04
25605.90,0.69
25636.87,0.82
25667.84,0.39
25698.81,-0.09
25729.79,0.04
25760.76,0.67
25791.73,0.99
25822.71,0.83
25853.68,0.76
25884.65,0.82
25915.63,0.46
25946.60,0.55
25977.57,0.63
26008.54,0.37
26039.52,-0.17
26070.49,-0.55
26101.46,-0.22
26132.44,0.65
26163.41,1.00
26194.38,0.47
26225.36,-0.02
26256.33,0.18
26287.30,0.49
26318.28,0.28
26349.25,0.01
26380.22,0.34
26411.20,0.90
26442.17,1.01
26473.14,0.72
26504.12,0.32
26535.09,0.00
26566.06,0.00
26597.03,0.00
26628.01,0.00
26658.98,0.00
26689.95,0.00
26720.93,0.00
26751.90,0.00
26782.87,0.00
26813.85,0.00
26844.82,0.00
26875.79,0.00
26906.76,0.00
26937.74,0.00
26968.71,0.00
26999.68,0.00
27030.66,0.00
27061.63,0.00
27092.60,0.00
27123.58,0.00
27154.55,0.00
27185.52,0.00
27216.49,0.00
