Size (bp),F8: CFD1600800
11258.85,100.44
11287.74,99.57
11316.64,96.72
11345.53,93.51
11374.43,91.08
11403.32,88.56
11432.22,85.57
11461.11,84.00
11490.01,85.41
11518.91,88.43
11547.80,91.07
11576.70,93.69
11605.59,97.32
11634.49,100.83
11663.38,101.44
11692.28,97.47
11721.17,89.84
11750.07,80.95
11778.96,73.26
11807.86,69.38
11836.75,71.17
11865.65,77.55
11894.54,84.34
11923.44,86.69
11952.33,82.70
11981.23,74.99
12010.12,68.04
12039.02,64.27
12067.91,62.92
12096.81,62.23
12125.70,61.81
12154.60,62.18
12183.49,62.80
12212.39,62.90
12241.28,63.59
12270.18,66.48
12299.07,70.47
12327.97,72.87
12356.86,72.72
12385.76,70.92
12414.65,68.64
12443.55,66.72
12472.44,64.91
12501.34,62.36
12530.23,58.83
12559.13,55.05
12588.02,51.76
12616.92,48.62
12645.81,44.73
12674.71,40.50
12703.60,37.43
12732.50,36.46
12761.39,37.15
12790.29,37.47
12819.18,36.34
12848.08,36.13
12876.97,38.95
12905.87,42.79
12934.76,44.83
12963.66,45.52
12992.55,46.78
13021.45,48.46
13050.34,48.56
13079.24,46.46
13108.13,44.58
13137.03,45.42
13165.92,47.91
13194.82,48.87
13223.71,46.88
13252.61,42.75
13281.50,37.74
13310.40,33.17
13339.29,30.38
13368.19,29.89
13397.08,31.66
13425.98,35.95
13454.87,41.62
13483.77,45.25
13512.66,44.79
13541.56,37.16
13570.45,32.53
13599.35,28.73
13628.24,26.58
13657.14,25.51
13686.03,24.71
13714.93,24.54
13743.82,25.90
13772.72,28.67
13801.61,31.72
13830.51,33.70
13859.40,33.76
13888.30,32.28
13917.19,30.46
13946.09,28.70
13974.98,26.73
14003.88,25.14
14032.77,25.32
14061.67,27.67
14090.56,30.76
14119.46,32.63
14148.35,33.10
14177.25,33.05
14206.14,31.59
14235.04,27.77
14263.93,23.97
14292.83,23.76
14321.72,27.95
14350.62,33.99
14379.51,37.47
14408.41,36.07
14437.30,32.50
14466.20,30.24
14495.09,28.70
14523.99,26.07
14552.88,22.97
14581.78,20.51
14610.67,18.88
14639.57,19.26
14668.46,23.04
14697.36,28.03
14726.25,29.40
14755.15,25.70
14784.04,20.73
14812.94,17.50
14841.83,14.63
14870.73,10.95
14899.62,8.73
14928.52,9.25
14957.42,10.15
14986.31,9.36
15015.21,7.89
15044.10,7.49
15073.00,8.54
15101.89,10.54
15130.79,12.48
15159.68,13.22
15188.58,13.06
15217.47,13.37
15246.37,13.83
15275.26,13.10
15304.16,11.67
15333.05,10.74
15361.95,9.83
15390.84,8.09
15419.74,6.27
15448.63,5.49
15477.53,5.69
15506.42,6.43
15535.32,7.91
15564.21,10.28
15593.11,12.80
15622.00,13.90
15650.90,12.60
15679.79,9.80
15708.69,7.41
15737.58,6.98
15766.48,9.09
15795.37,12.69
15824.27,15.48
15853.16,16.08
15882.06,15.39
15910.95,14.96
15939.85,14.96
15968.74,14.52
15997.64,13.22
16026.53,11.19
16055.43,8.25
16084.32,4.44
16113.22,1.26
16142.11,0.46
16171.01,1.92
16199.90,3.93
16228.80,5.05
16257.69,4.88
16286.59,3.75
16315.48,2.54
16344.38,2.36
16373.27,3.35
16402.17,4.16
16431.06,3.46
16459.96,1.91
16488.85,1.37
16517.75,2.36
16546.64,3.45
16575.54,3.41
16604.43,1.48
16633.33,0.00
16662.22,0.93
16691.12,0.00
16720.01,0.69
16748.91,2.98
16777.80,5.05
16806.70,5.07
16835.59,3.41
16864.49,2.10
16893.38,2.27
16922.28,3.30
16951.17,4.15
16980.07,4.19
17008.96,3.48
17037.86,2.59
17066.75,1.99
17095.65,1.58
17124.54,1.15
17153.44,0.93
17182.33,1.16
17211.23,1.46
17240.12,1.50
17269.02,1.44
17297.91,1.34
17326.81,0.88
17355.70,0.20
17384.60,0.03
17413.49,0.82
17442.39,2.34
17471.29,4.11
17500.18,5.34
17529.07,5.28
17557.97,4.16
17586.87,2.94
17615.76,2.24
17644.65,1.99
17673.55,1.80
17702.45,1.44
17731.34,1.11
17760.23,1.27
17789.13,2.27
17818.03,3.56
17846.92,4.10
17875.81,3.75
17904.71,3.02
17933.61,2.02
17962.50,0.92
17991.39,0.25
18020.29,0.07
18049.19,0.00
18078.08,0.05
18106.97,0.53
18135.87,1.46
18164.77,2.56
18193.66,3.21
18222.55,3.44
18251.45,4.80
18280.35,8.16
18309.24,11.20
18338.13,11.06
18367.03,8.20
18395.93,5.25
18424.82,3.87
18453.71,4.00
18482.61,4.66
18511.51,4.63
18540.40,3.45
18569.30,2.06
18598.19,1.68
18627.09,2.16
18655.98,2.40
18684.88,1.92
18713.77,1.09
18742.67,0.50
18771.56,0.52
18800.46,0.92
18829.35,1.47
18858.25,2.48
18887.14,4.19
18916.04,6.21
18944.93,7.81
18973.83,8.68
19002.72,8.94
19031.62,8.30
19060.51,6.42
19089.41,4.06
19118.30,2.48
19147.20,1.76
19176.09,1.26
19204.99,0.79
19233.88,0.85
19262.78,1.56
19291.67,2.19
19320.57,1.93
19349.46,1.05
19378.36,0.60
19407.25,1.06
19436.15,1.74
19465.04,1.76
19493.94,1.28
19522.83,1.10
19551.73,1.36
19580.62,1.66
19609.52,1.75
19638.41,0.45
19667.31,0.00
19696.20,0.00
19725.10,0.00
19753.99,0.76
19782.89,0.99
19811.78,0.64
19840.68,0.02
19869.57,0.00
19898.47,1.02
19927.36,2.54
19956.26,3.66
19985.15,4.09
20014.05,4.02
20042.94,3.54
20071.84,2.70
20100.73,2.04
20129.63,2.17
20158.52,2.69
20187.42,2.56
20216.31,1.64
20245.21,0.94
20274.10,1.18
20303.00,1.85
20331.89,2.12
20360.79,2.14
20389.68,2.46
20418.58,3.03
20447.47,3.35
20476.37,2.89
20505.26,1.53
20534.16,0.15
20563.05,0.00
20591.95,1.27
20620.84,2.89
20649.74,3.77
20678.63,3.50
20707.53,2.45
20736.42,1.53
20765.32,1.28
20794.21,1.45
20823.11,1.75
20852.00,2.09
20880.90,2.25
20909.79,1.94
20938.69,1.19
20967.58,0.39
20996.48,0.00
21025.37,0.00
21054.27,0.00
21083.16,1.20
21112.06,2.02
21140.96,2.42
21169.85,2.56
21198.74,2.26
21227.64,1.44
21256.54,0.62
21285.43,0.32
21314.33,0.45
21343.22,0.73
21372.12,0.90
21401.01,0.72
21429.91,0.32
21458.80,0.07
21487.70,0.00
21516.59,0.00
21545.49,0.00
21574.38,0.00
21603.28,0.00
21632.17,0.00
21661.07,0.00
21689.96,0.00
21718.86,0.00
21747.75,0.00
21776.65,0.00
21805.54,0.00
21834.44,0.00
21863.33,0.00
21892.23,0.00
21921.12,0.00
21950.02,0.00
21978.91,0.00
22007.81,0.00
22036.70,0.00
22065.60,0.00
22094.49,0.00
22123.39,0.00
22152.28,0.00
22181.18,0.00
22210.07,0.00
22238.97,0.00
22267.86,0.00
22296.76,0.00
22325.65,0.00
22354.55,0.00
22383.44,0.00
22412.34,0.00
22441.23,0.00
22470.13,0.00
22499.02,0.00
22527.92,0.00
22556.81,0.00
22585.71,0.00
22614.60,0.00
22643.50,0.00
22672.39,0.00
22701.29,0.00
22730.18,0.00
22759.08,0.00
22787.97,0.00
22816.87,0.00
22845.76,0.00
22874.66,0.00
22903.55,0.00
22932.45,0.00
22961.34,0.00
22990.24,0.00
23019.13,0.00
23048.03,0.00
23076.92,0.00
