Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
B192-B194E33_R1	88.0	100.5	136.5	194.5	276.5	364.5	533.0	739.0	939.0	1185.5	1638.5	2440.5	3492.5	5015.0	7414.0	11214.0	17675.0	28482.5	46939.5	76347.0	116978.5	170747.0	242787.0	335704.5	446187.5	572578.5	714384.5	863889.5	1015544.5	1169074.0	1321255.5	1464838.0	1601692.5	1742972.0	1872075.0	1974167.5	2062651.5	2143121.0	2207565.0	2247650.5	2265563.0	2267660.5	2261501.0	2240775.5	2206053.0	2172687.5	2138059.0	2096348.0	2058059.0	2023034.5	1994023.0	1970506.0	1949921.5	1940791.0	1932051.5	1923527.0	1918796.5	1914952.5	1912409.0	1909648.5	1899994.0	1873705.0	1835623.0	1787670.5	1716331.5	1613903.5	1486683.0	1343572.0	1180327.0	996030.0	803956.5	621251.0	465784.5	344021.5	251262.0	183765.5	136199.5	101231.5	75684.0	56602.5	41646.5	30726.0	22874.5	16721.0	11923.5	8498.0	6061.0	4436.0	3246.0	2353.5	1628.5	1102.5	807.5	555.5	362.0	242.0	179.5	136.0	95.0	97.5	91.0
B210E33_R1	39.0	39.0	44.5	70.5	95.0	126.5	193.5	249.0	316.5	405.5	518.5	726.0	1003.0	1399.5	2096.5	3336.5	5366.5	8874.5	15010.0	24463.0	38590.0	58679.0	85854.0	121813.0	167336.5	224303.0	294916.5	376053.0	470602.5	580384.0	697042.5	820695.0	954025.0	1094568.0	1234927.5	1374362.5	1511937.0	1639909.5	1756720.5	1855621.0	1934911.5	1992520.0	2023606.0	2037911.5	2047230.0	2053005.5	2052839.5	2050482.0	2044964.5	2042267.0	2050623.5	2064040.5	2081580.5	2106609.0	2140687.5	2185072.0	2236859.0	2287074.0	2327252.0	2360658.0	2374821.5	2352054.5	2292438.5	2196589.0	2066752.5	1907981.0	1724239.0	1525481.5	1321410.0	1115659.0	920602.0	744938.5	593863.0	469501.5	367583.0	288421.5	227027.0	178116.5	139286.5	107006.5	82017.5	62458.0	46712.5	34430.0	24811.0	17685.5	12368.0	8726.0	6160.5	4208.5	2830.5	1874.5	1242.5	817.0	511.5	303.0	211.5	142.5	100.5	74.5	46.0
B251E10_R1	83.0	84.5	97.5	159.0	271.0	376.5	556.0	731.0	870.5	1174.5	1726.0	2697.5	4002.0	5637.5	8314.5	12563.5	19451.5	31183.0	50699.5	81465.5	124345.5	180745.5	254356.5	348069.5	457670.5	581695.0	720823.5	867577.0	1014451.5	1161283.0	1302503.5	1432776.5	1556700.5	1680798.0	1793965.0	1882520.0	1954766.5	2018406.5	2071363.0	2105736.5	2122194.5	2125272.0	2119996.0	2103478.0	2077538.0	2051145.5	2021932.5	1989577.5	1961904.5	1936565.5	1913632.0	1895483.5	1877918.0	1863592.0	1851498.0	1838962.5	1830200.5	1822377.5	1808964.5	1797811.5	1783934.5	1752878.0	1703294.5	1641508.0	1562056.0	1455968.5	1331742.0	1197754.0	1046647.5	880418.5	711643.0	554055.5	423219.0	319144.0	237589.0	177461.5	134057.5	102226.5	78345.5	59639.0	45253.5	34546.5	26469.5	19848.5	14722.5	11026.5	8137.0	5950.0	4378.0	3225.0	2314.5	1645.0	1123.0	746.0	522.5	370.0	278.5	206.5	144.0	143.0	115.0
CFD1500875_S0_R1	61.0	67.0	137.0	212.0	245.0	317.0	433.5	545.0	668.5	884.0	1155.5	1491.0	1930.5	2588.5	3585.833333333333	4882.833333333333	6705.666666666664	9451.999999999995	13310.666666666682	18567.6666666668	25793.666666666628	35164.66666666575	46967.33333333394	61416.16666667091	78279.66666666864	98039.99999998909	120411.99999997122	144635.3333333091	170892.66666668403	198194.83333340488	225407.83333346224	252983.83333352406	279873.1666668408	305761.83333340194	332138.8333332991	357940.66666650807	380299.3333330619	398345.4999996402	410241.1666662578	413782.8333329136	408369.33333294	394762.6666663482	376566.66666644695	356259.66666653095	335538.1666666271	318206.1666666952	304575.3333334074	293460.8333334458	283615.0000001441	272812.3333335094	260431.6666668354	245657.66666680697	229434.00000011025	213404.50000008167	197572.50000005544	182425.16666669713	168755.83333334557	155386.83333332985	141509.1666666489	126346.16666664454	110617.8333333204	95134.16666665956	80739.16666666573	68083.83333333855	56631.83333333694	46987.0000000014	38850.99999999966	31859.666666665584	25892.999999999396	20770.83333333327	16534.66666666696	13150.333333333474	10487.666666666684	8293.666666666613	6580.833333333307	5282.000000000003	4299.666666666681	3453.333333333339	2816.333333333336	2300.333333333333	1856.166666666665	1460.9999999999998	1120.3333333333333	836.0	591.0	402.0	258.5	161.0	98.0	66.5	51.5	34.5	19.5	15.5	12.0	6.0	2.5	1.0	0.5	0.0	0.0
CFD1500962_S0_R1	64.0	82.5	132.5	169.0	187.5	240.5	330.5	403.5	476.0	592.5	747.5	928.5	1102.0	1394.5	1818.8333333333335	2330.0	2989.3333333333335	3897.0	5181.166666666671	6757.166666666681	8844.499999999924	11560.499999999893	15145.166666666555	20130.666666666908	26891.833333333358	36533.16666666627	49834.000000001055	67191.83333333752	90072.49999999562	118878.66666664652	153676.49999999293	193792.3333333776	237985.6666667718	284467.8333334247	332104.1666666383	379246.666666499	423932.83333304286	462078.3333329283	489983.49999953987	504593.6666661802	506200.8333328577	496786.99999956373	478974.6666662904	458187.4999996838	436299.33333306824	416926.6666664523	402041.8333331558	391599.49999984936	382888.83333320514	371517.33333322615	357497.83333326166	340327.99999996414	318696.16666666715	296065.83333337575	274305.0000000791	254485.5000000764	235599.3333333871	216810.3333333697	197337.66666669038	175820.33333334338	153446.83333333072	131448.49999998687	111035.16666665839	92703.49999999626	76350.66666666754	62768.16666666967	51097.83333333497	41126.000000000226	32914.66666666592	26088.999999999596	20438.666666666624	15715.166666666822	12061.833333333376	9347.499999999995	7298.9999999999845	5666.833333333328	4431.666666666672	3450.500000000003	2585.6666666666665	1885.6666666666665	1340.3333333333333	976.0	720.0	473.5	296.5	210.5	137.0	88.5	61.5	42.5	29.0	16.0	7.5	3.5	2.5	1.5	0.5	0.0	0.5	1.0	1.0
CFD1500977_S0_R1	77.0	87.5	149.0	208.5	244.5	345.0	494.5	619.5	745.0	955.5	1281.0	1624.5	2012.5	2719.0	3677.3333333333335	4819.5	6533.166666666666	9238.5	12972.33333333334	18062.000000000036	25165.999999999993	34427.666666666315	46241.666666666824	60622.16666666832	77316.83333333422	96784.83333332995	118516.33333332429	141514.99999998993	165857.166666669	191674.3333333531	217063.16666670493	241623.66666672242	266278.1666667438	290588.16666671424	313729.1666666797	335288.49999998056	355981.99999994476	374104.1666665824	386429.83333323547	390906.9999998927	387945.49999989814	378405.3333332476	364757.9999999366	349671.66666662594	334906.16666665074	322435.333333335	312301.66666668194	304260.3333333582	297952.1666666959	290321.1666667054	280287.8333333838	267814.8333333935	252316.50000005367	235209.6666667098	218760.5000000319	203594.16666668985	189296.50000001446	174793.33333334065	159345.00000000084	142756.99999999526	124862.33333332541	106608.99999999545	89699.83333333145	74448.333333334	60862.66666666826	49302.50000000087	39503.66666666673	31400.499999999603	24970.99999999979	19558.000000000015	14951.833333333412	11185.666666666675	8404.66666666664	6358.499999999993	4761.833333333334	3618.16666666667	2704.5	2044.4999999999998	1505.3333333333335	1046.5	753.0	527.0	352.0	227.0	141.0	91.5	70.5	54.0	34.0	16.0	8.0	7.5	6.5	4.0	2.5	1.0	0.0	0.0	0.0	0.0	0.0
CFD1600102_S0_R1	137.0	155.5	226.0	298.5	350.5	475.0	676.5	847.5	1009.0	1310.5	1798.0	2350.5	3023.0	4110.5	5676.999999999999	7904.999999999999	10965.500000000002	15304.000000000015	21865.49999999998	31559.833333333056	45154.49999999993	63357.00000000213	86222.16666666695	113933.66666666023	146422.49999999287	182212.50000001673	221470.33333338136	264070.5000000874	308086.00000001845	351782.9999999307	395642.49999983003	437585.3333330718	477979.3333329706	517052.8333328714	555147.8333329757	592534.3333331419	626330.6666666451	651746.1666667301	662570.3333334549	657701.3333334366	638126.1666667144	606796.666666534	567672.6666663442	526716.8333328601	487274.33333295013	451478.6666663581	423667.16666642897	402187.9999998127	381957.66666652483	361787.33333323704	339537.666666619	315168.16666667734	290482.33333339076	264811.6666667774	240183.16666675074	218593.1666667225	198474.1666667014	178987.0000000166	158966.50000000128	138730.16666665295	118449.4999999877	98900.99999999345	81883.33333333256	66667.16666667047	53667.500000002634	43322.000000000466	34773.49999999916	27338.666666666082	21470.833333333212	16981.333333333536	12999.666666666786	9695.833333333308	7273.333333333299	5406.333333333327	4087.833333333344	3176.5000000000027	2448.9999999999986	1852.3333333333326	1369.5	978.5000000000001	678.0	463.0	301.0	184.5	117.0	79.0	49.0	31.5	23.0	17.0	11.0	5.5	4.0	7.0	8.5	6.5	3.0	1.0	0.5	0.0	0.0
CFD1600374_S0_R1	122.0	145.0	227.0	303.0	345.0	447.0	626.5	805.5	1008.0	1373.5	1893.0	2434.5	3072.0	4271.833333333334	6070.666666666667	8312.666666666666	11483.666666666666	16472.66666666667	23902.499999999993	34241.33333333327	48627.000000000015	67682.66666666738	92020.16666666648	121523.99999999763	155560.66666666575	194431.33333334012	237606.66666668237	284463.66666668095	333631.3333333268	383968.4999999663	433459.9999999348	481301.9999999031	528071.8333332057	571798.499999926	613362.8333333065	652540.0000000197	689096.0000000789	719149.6666667754	736206.0000001366	739408.000000144	728551.1666667947	703026.8333334245	668135.3333333753	631374.3333333231	593254.33333327	557741.4999998882	528649.9999998624	506489.9999998785	487026.9999998967	465563.6666665737	441317.3333332585	414108.3333332775	383890.49999996135	352837.83333331096	322971.1666666632	295212.3333333455	269429.5000000245	243983.50000001967	217875.8333333449	191444.50000000626	165085.83333333433	138734.8333333291	114890.1666666634	94447.83333333142	77177.66666666672	62721.83333333464	49924.33333333378	39507.499999999905	31041.999999999738	24194.333333333238	18753.500000000022	14076.333333333374	10510.166666666673	7956.8333333333185	6016.333333333331	4586.5	3515.166666666668	2706.8333333333335	2048.999999999999	1489.5	1074.8333333333333	774.1666666666666	524.6666666666667	331.0	195.5	109.5	69.0	51.0	38.5	28.5	19.5	11.5	8.0	7.0	5.0	3.5	2.0	1.0	0.5	0.0	0.0
CFD1600375_S0_R1	128.0	147.5	234.5	319.0	383.0	517.0	708.5	904.0	1141.0	1538.0	2143.5	2837.5	3652.5	5100.0	7228.166666666667	10052.666666666666	14120.333333333343	20010.50000000001	28853.833333333274	41396.499999999694	57466.16666666742	77707.83333333557	101956.16666666337	128875.33333331649	158263.33333332947	190285.00000002954	225184.33333340395	262605.333333454	302142.0000000426	342428.66666660446	380845.49999981467	418170.99999969115	454701.66666623956	489398.9999994549	523899.83333265566	557380.8333327944	586224.6666663437	604929.8333331264	609569.1666665068	599016.3333330541	573302.8333328421	535729.8333325927	493262.33333275624	450983.33333287656	411460.333333017	376506.6666664804	348263.9999999148	325485.3333333236	305236.8333333931	285112.6666667962	264007.6666668339	243237.83333346428	221606.83333342988	200973.16666673246	181523.83333336818	163338.5000000052	147313.66666665196	131737.66666663712	116758.33333331464	101169.9999999887	85327.83333333019	70607.50000000482	57775.000000004475	46921.16666666869	37785.99999999955	30117.99999999877	23795.833333332786	18760.166666666864	14800.166666666944	11395.500000000082	8631.6666666666	6534.999999999954	5035.8333333333385	3893.166666666683	2931.833333333339	2179.1666666666615	1667.4999999999989	1324.166666666667	1033.6666666666674	733.0000000000001	502.8333333333333	355.6666666666667	242.0	153.5	85.0	52.5	40.5	32.5	21.0	12.5	10.5	8.0	4.5	2.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
